name,score,genres,type,episodes,premiered,producers,licensors,studios,source,rating,popularity,favorites
Sore Ike! Anpanman: Yumeneko no Kuni no Nyanii,0,"Comedy, Fantasy, Kids",Movie,1,unknown,Tokyo Movie Shinsha,unknown,unknown,unknown,PG - Children,14533,0
Sore Ike! Anpanman: Yuuki no Hana ga Hiraku Toki,0,"Comedy, Fantasy, Kids",Movie,1,unknown,Tokyo Movie Shinsha,unknown,unknown,unknown,PG - Children,14768,0
Sore Ike! Anpanman: Anpanman to Oyakusoku,0,"Comedy, Fantasy, Kids",OVA,2,unknown,Tokyo Movie Shinsha,unknown,TMS Entertainment,unknown,PG - Children,14868,0
Sore Ike! Anpanman: Outa to Teasobi Tanoshii ne,0,"Comedy, Fantasy, Kids",OVA,2,unknown,Tokyo Movie Shinsha,unknown,unknown,unknown,PG - Children,14941,0
Pic-lele,0,Kids,TV,12,Winter 2014,MMDGP,unknown,Kachidoki Studio,unknown,PG - Children,15701,0
Ao Haru Ride,7.67,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,12,Summer 2014,"Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha, BS11, Animatic, Hakuhodo DY Media Partners, Sony PCL",Sentai Filmworks,Production I.G,Manga,PG-13 - Teens 13 or older,182,7415
Duel Masters Victory V,5.95,"Action, Adventure, Comedy, Shounen",TV,51,Spring 2012,Shogakukan-Shueisha Productions,unknown,unknown,Original,PG-13 - Teens 13 or older,10847,0
Duel Masters Victory V3,5.88,"Action, Adventure, Comedy, Shounen",TV,51,Spring 2013,"TV Tokyo, Shogakukan-Shueisha Productions",unknown,unknown,Original,PG-13 - Teens 13 or older,10721,1
Koukaku Kidoutai Nyuumon Arise,6.85,Comedy,TV,26,Winter 2014,Bandai Visual,unknown,Production I.G,unknown,PG-13 - Teens 13 or older,5700,8
Samurai Gun Special,5.91,"Action, Historical, Seinen",Special,1,unknown,"Avex Entertainment, TV Asahi",ADV Films,Studio Egg,Manga,R - 17+ (violence & profanity),11113,0
Sore Ike! Anpanman: Lyrical☆Magical Mahou no Gakkou,0,"Comedy, Fantasy, Kids",Movie,1,unknown,Tokyo Movie Shinsha,unknown,unknown,unknown,PG - Children,14634,0
Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar,0,"Comedy, Fantasy, Kids, Sci-Fi",Movie,1,unknown,Tokyo Movie Shinsha,unknown,unknown,unknown,PG - Children,15276,0
Mou Hasamazu ni wa Irarenai♥: Hoshi ni Onegai shitara Konnani Okkiku Nacchatta!,6.76,Hentai,OVA,1,unknown,Pashmina,unknown,unknown,Manga,Rx - Hentai,5857,32
Fairy Tail (2014),7.73,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,Spring 2014,"TV Tokyo, Dentsu",Funimation,"A-1 Pictures, Bridge",Manga,PG-13 - Teens 13 or older,128,11961
Just Awake,6.45,"Action, Music, Sci-Fi",Music,1,unknown,VAP,unknown,unknown,unknown,G - All Ages,8789,2
Gakkou no Kaidan (OVA),6.46,"Comedy, Horror, Mystery, Supernatural",OVA,10,unknown,unknown,unknown,Studio Pierrot,unknown,PG-13 - Teens 13 or older,10630,1
Gakkou no Kaidan Recaps,6.03,"Horror, Mystery, Supernatural",Special,2,unknown,unknown,unknown,Studio Pierrot,Original,PG-13 - Teens 13 or older,9554,0
"Inari, Konkon, Koi Iroha.: Inari, Konkon, Semishigure.",6.88,"Comedy, Romance, Seinen, Supernatural",OVA,1,unknown,"DAX Production, flying DOG",Funimation,Production IMS,Manga,PG-13 - Teens 13 or older,3546,9
Kakumeiteki Broadway Shugisha Doumei,5.14,Music,Music,1,unknown,unknown,unknown,unknown,Music,PG-13 - Teens 13 or older,12130,0
T-Rex,0,"Action, Adventure, Comedy, Kids",TV,52,Fall 1992,Kitty Films,unknown,unknown,unknown,G - All Ages,14294,0
Swing Out Sisters (2014),7.48,Hentai,OVA,1,unknown,BreakBottle,unknown,unknown,Manga,Rx - Hentai,4078,194
Mikakunin de Shinkoukei: Mite. Are ga Watashitachi no Tomatteiru Ryokan yo.,7.07,"Comedy, Romance, Slice of Life",Special,1,unknown,"DAX Production, TOHO animation",unknown,Doga Kobo,4-koma manga,PG-13 - Teens 13 or older,2669,12
Cosplay Rakuen,6.03,Hentai,OVA,1,unknown,Toranoana,unknown,Jumondo,Original,Rx - Hentai,7390,3
Mayonaka wa Junketsu,5.63,"Action, Music",Music,1,unknown,unknown,unknown,unknown,Original,PG - Children,13035,0
Magi: Sinbad no Bouken,7.85,"Action, Adventure, Fantasy, Magic, Shounen",OVA,5,unknown,"Aniplex, Shogakukan",unknown,Lay-duce,Manga,PG-13 - Teens 13 or older,1367,228
Hero Bank,6.05,"Game, Kids",TV,51,Spring 2014,"Tokyo Movie Shinsha, Sega, TMS Music",unknown,TMS Entertainment,Game,PG - Children,8209,11
Soredemo Sekai wa Utsukushii,7.67,"Adventure, Romance, Fantasy, Shoujo",TV,12,Spring 2014,"VAP, Hakusensha, Nippon Television Network",Sentai Filmworks,Studio Pierrot,Manga,PG-13 - Teens 13 or older,629,1839
Kattobase! Dreamers: Carp Tanjou Monogatari,0,Sports,Movie,1,unknown,unknown,unknown,Madhouse,unknown,0,14342,0
Kyoukaisenjou no Horizon: Kyokutou Naruhodo Kouza,6.24,"Comedy, Fantasy, School",ONA,4,unknown,Studio Moriken,unknown,Sunrise,unknown,PG-13 - Teens 13 or older,7497,7
Witch Craft Works: Takamiya-kun to Imouto no Warudakumi,6.82,"Action, Supernatural, Fantasy, Seinen",OVA,1,unknown,unknown,unknown,J.C.Staff,Manga,PG-13 - Teens 13 or older,3168,13
PeroPero☆Teacher,6.35,Hentai,OVA,3,unknown,Cosmos,unknown,unknown,Original,Rx - Hentai,5957,22
Inugami-san to Nekoyama-san,6.57,"Comedy, School, Shoujo Ai",TV,12,Spring 2014,"DAX Production, Dream Creation",unknown,Seven,4-koma manga,PG-13 - Teens 13 or older,1924,99
Kuroko no Basket: Mou Ikkai Yarimasen ka,7.66,"Comedy, School, Shounen, Sports",Special,1,unknown,unknown,unknown,Production I.G,Manga,PG-13 - Teens 13 or older,2672,29
Train Heroes Movie,0,Kids,Movie,1,unknown,TV Tokyo,unknown,unknown,unknown,G - All Ages,15710,0
Ping Pong the Animation,8.63,"Drama, Psychological, Seinen, Sports",TV,11,Spring 2014,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Science SARU",Funimation,Tatsunoko Production,Manga,PG-13 - Teens 13 or older,545,11436
Toukiden: The Age of Demons - Introduction,5.85,"Action, Demons",Special,1,unknown,unknown,unknown,Studio 4°C,unknown,PG-13 - Teens 13 or older,10664,0
Kuroshitsuji: Book of Circus,8.13,"Action, Mystery, Comedy, Historical, Demons, Supernatural, Shounen",TV,10,Summer 2014,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, DeNA",Funimation,A-1 Pictures,Manga,R - 17+ (violence & profanity),482,3512
Amagi Brilliant Park,7.52,"Comedy, Drama, Fantasy, Magic",TV,13,Fall 2014,"Avex Entertainment, TBS, DAX Production, flying DOG, Mobcast",Sentai Filmworks,Kyoto Animation,Light novel,PG-13 - Teens 13 or older,240,2274
Yasashii Kinyoubi,4.08,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,10749,0
"Yami no Kioku, Yume no Inei",4.82,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,12874,0
Scrap Diary,3.32,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,9997,0
Natsu no Shisen 1942,4.92,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,12899,1
Chirico,4.69,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,12217,0
Goldfish Fetish,5.45,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,12225,0
Fetish Doll,3.09,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,9409,1
Tanaami Keiichi no Shouzou,4.99,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,13210,0
Yume 10 Yoru,4.2,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,11223,0
The Harmonic Gleam Vibration,4.96,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,12763,0
Madonna (Movie),3.19,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,10726,2
Aki no Puzzle,2.63,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,9448,1
Shunga,4.42,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,11470,0
Futsuu no Joshikousei ga [Locodol] Yattemita.,6.9,"Slice of Life, Comedy, Seinen",TV,12,Summer 2014,"TBS, DAX Production, Nippon Columbia, Overlap, Fuji Creative, Ichijinsha",Sentai Filmworks,feel.,4-koma manga,PG-13 - Teens 13 or older,2594,68
Yuuto-kun ga Iku Movie,0,"Kids, Sports",Movie,1,unknown,unknown,unknown,Shirogumi,unknown,PG - Children,15643,0
Akame ga Kill!,7.53,"Action, Adventure, Drama, Fantasy, Shounen",TV,24,Summer 2014,"Square Enix, TOHO animation",Sentai Filmworks,White Fox,Manga,R - 17+ (violence & profanity),25,23395
Be Blues! Ao ni Nare,5.46,"Sports, Shounen",ONA,1,unknown,unknown,unknown,unknown,Manga,G - All Ages,12356,1
Pretty Rhythm: All Star Selection,6.36,"Music, Shoujo, Sports",TV,11,Spring 2014,unknown,unknown,"Tatsunoko Production, Dongwoo A&E",Game,PG - Children,8363,12
Warera Salaryman Tou,0,"Comedy, Slice of Life",TV,26,Fall 1970,"Fuji TV, P Productions",unknown,unknown,unknown,G - All Ages,14768,0
Monoshiri Daigaku: Ashita no Calendar,5.77,Historical,TV,1274,Summer 1966,"Mainichi Broadcasting System, Otogi Production",unknown,unknown,Original,G - All Ages,12362,0
Momo Kyun Sword,5.59,"Comedy, Ecchi, Fantasy",TV,12,Summer 2014,flying DOG,Sentai Filmworks,"Project No.9, Tri-Slash",Light novel,R+ - Mild Nudity,3036,25
Tenshi no Shippo Chu!: Tenshi no Utagoe,6.04,"Magic, Romance, Fantasy",OVA,1,unknown,Bandai Visual,unknown,unknown,unknown,PG-13 - Teens 13 or older,11737,0
Mahou no Yousei Persia Pilot,0,Magic,Special,1,unknown,unknown,unknown,Studio Pierrot,Original,PG - Children,13047,0
Ribbon no Kishi Pilot,0,Adventure,Special,1,unknown,unknown,unknown,Mushi Production,unknown,G - All Ages,12662,0
Azumi Mamma★Mia,0,"Comedy, Kids",TV,60,Summer 1997,unknown,unknown,Toei Animation,Manga,0,13304,0
Yodaka no Hoshi,6.43,"Kids, Adventure",Movie,1,unknown,NHK,unknown,unknown,unknown,G - All Ages,8602,2
Kanojo no Dokushinshatachi ni Yotte Hadaka ni Sareta Seifuku no Shojo Kenkyuu,4.4,"Dementia, Music",Movie,1,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,11186,0
Free!: Eternal Summer,7.68,"Slice of Life, Comedy, Sports, Drama, School",TV,13,Summer 2014,"Lantis, Iwatobi High School Swimming Club, Asahi Broadcasting",Funimation,"Kyoto Animation, Animation Do",Original,PG-13 - Teens 13 or older,450,2762
Aries: Shinwa no Seizakyuu,0,"Fantasy, Romance, Shoujo, Supernatural",OVA,1,unknown,Studio Zain,unknown,unknown,unknown,PG-13 - Teens 13 or older,13026,1
Selector Infected WIXOSS,7.26,"Game, Psychological",TV,12,Spring 2014,"Magic Capsule, Warner Bros. Japan, Showgate",Funimation,J.C.Staff,Card game,R - 17+ (violence & profanity),1153,604
OL Kaizou Kouza,0,"Comedy, Slice of Life",OVA,1,unknown,unknown,unknown,TMS Entertainment,unknown,PG-13 - Teens 13 or older,13142,0
Watashitachi no Kurashi to Doboku,0,"Historical, Kids, Samurai",OVA,3,unknown,Mushi Production,unknown,unknown,Original,G - All Ages,15371,0
Mahou no Yousei Persia: Escape!,5.75,Music,Music,1,unknown,unknown,unknown,Studio Pierrot,Original,R+ - Mild Nudity,12611,0
Juuza Engi: Engetsu Sangokuden - Gaiden Youzhou Genya,5.81,"Historical, Romance, Fantasy, Josei",OVA,1,unknown,"Anpro, teamKG",unknown,unknown,Visual novel,PG-13 - Teens 13 or older,7100,9
Fate/stay night: Unlimited Blade Works,8.22,"Action, Fantasy, Magic, Supernatural",TV,12,Fall 2014,"Aniplex, Notes",Aniplex of America,ufotable,Visual novel,R - 17+ (violence & profanity),119,12756
Shinken Densetsu: Tight Road,0,"Action, Martial Arts",TV,13,Fall 1994,unknown,unknown,Toei Animation,unknown,PG-13 - Teens 13 or older,12659,0
Tokyo Ghoul,7.81,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen",TV,12,Summer 2014,"Marvelous AQL, TC Entertainment, Shueisha",Funimation,Studio Pierrot,Manga,R - 17+ (violence & profanity),7,45519
Ningen Kakumei,0,Slice of Life,OVA,20,unknown,Shinano Kikaku,unknown,Toei Animation,unknown,PG-13 - Teens 13 or older,14892,0
Himalaya no Hikari no Oukoku,0,"Adventure, Music, Fantasy",OVA,1,unknown,Shinano Kikaku,unknown,Toei Animation,unknown,G - All Ages,14399,0
Daisougen to Hakuba,0,"Adventure, Music, Historical",OVA,1,unknown,Shinano Kikaku,unknown,Toei Animation,unknown,G - All Ages,13621,0
Teekyuu 3 Specials,6.53,"Comedy, School, Shounen, Sports",Special,2,unknown,Earth Star Entertainment,unknown,MAPPA,Manga,PG-13 - Teens 13 or older,5348,2
Funny Pets 2nd Season,5.56,Comedy,TV,12,Fall 2006,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,13258,0
Pandra The Animation: Shiroki Yokubou Kuro no Kibou,6.91,"Fantasy, Hentai, Supernatural, Demons",OVA,2,unknown,"Pink Pineapple, T-Rex",unknown,unknown,Manga,Rx - Hentai,5866,50
Sanzoku no Musume Ronja,7.15,Adventure,TV,26,Fall 2014,"NHK, Dwango",GKIDS,"Studio Ghibli, Polygon Pictures",Book,G - All Ages,3295,63
Shichinin no Nana: Oshougatsu Da yo! 7 x 7 = 49-nin no Nana?,6.33,"Adventure, Comedy, Magic",Special,1,unknown,"TV Tokyo, Genco",unknown,A.C.G.T.,unknown,PG-13 - Teens 13 or older,12006,0
Wonder Momo,3.6,"Action, Game, Martial Arts, School",ONA,5,unknown,Bandai Namco Games,unknown,Graphinica,Game,PG-13 - Teens 13 or older,6255,5
Nandaka Velonica,6.0,"Comedy, Fantasy, Kids",TV,10,Winter 2014,NHK,unknown,Cyclone Graphics,unknown,G - All Ages,10302,0
a_caFe,4.63,"Fantasy, Music",Music,1,unknown,unknown,unknown,unknown,Original,G - All Ages,11216,0
Ring Ring Boy,0,Dementia,Movie,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,15074,0
Sora e,0,"Music, Kids, Fantasy",Music,1,unknown,NHK,unknown,unknown,Original,G - All Ages,14321,0
Asa ga Kuru mae ni: Sasurai Version,5.62,"Music, Romance",Music,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,12732,0
Nihon Mukashibanashi: Warashibe Chouja,0,Kids,Movie,1,unknown,Gakken Eigakyoku,unknown,unknown,Other,G - All Ages,14785,0
Aoi Heya,4.66,"Fantasy, Music",Music,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,11849,0
Quantum Leap,4.87,"Action, Music",Music,1,unknown,Avex Entertainment,unknown,Production I.G,Music,PG-13 - Teens 13 or older,12614,0
Acchi Kocchi,7.12,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,R - 17+ (violence & profanity),5657,55
Licca-chan to Mahou no Kuni,0,"Fantasy, Kids",ONA,7,unknown,unknown,unknown,DLE,unknown,G - All Ages,15304,0
Computer Obaachan,5.06,"Adventure, Comedy, Kids, Music, Sci-Fi, Space",Music,1,unknown,NHK,unknown,unknown,Original,G - All Ages,12742,0
Itadaki! Seieki♥,7.46,"Hentai, Supernatural",OVA,1,unknown,Pashmina,Kitty Media,unknown,Manga,Rx - Hentai,2403,708
Break Blade,7.29,"Action, Military, Fantasy, Mecha, Shounen",TV,12,Spring 2014,"Bandai Visual, Lantis, Showgate",unknown,"Production I.G, Xebec",Manga,R - 17+ (violence & profanity),1667,193
New Mobile Report Gundam Wing: Frozen Teardrop Picture Drama - Aratanaru Tatakai,6.15,"Action, Mecha, Sci-Fi",Special,1,unknown,Sotsu,unknown,Sunrise,unknown,PG-13 - Teens 13 or older,7769,5
Hello Kitty: Ringo no Mori no Mystery,0,"Comedy, Kids, Mystery",TV,13,Winter 2007,Sanrio,unknown,Asahi Production,unknown,PG - Children,12918,0
Hello Kitty: Ringo no Mori to Parallel Town,0,"Comedy, Fantasy, Kids",TV,27,Fall 2007,Sanrio,unknown,Asahi Production,unknown,PG - Children,12809,0
Hello Kitty no Alps no Shoujo Heidi,6.01,Kids,OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,11562,3
Hello Kitty no Yappari Mama ga Suki,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13602,1
Hello Kitty no Momotarou,5.88,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,12840,1
Hello Kitty no Nagagutsu wo Naita Neko,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13525,0
Bad Badtz-Maru no Ookami ga Kita!,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13200,1
Hello Kitty no Circus ga Yatte Kita,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13425,1
Hello Kitty no Fushigi na Mizuumi,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14208,1
Hello Kitty no Shoukoujo,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13930,0
Hello Kitty no Yume Dorobou,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13608,0
KutsuDaru.,0,"Fantasy, Kids, School, Slice of Life",TV,48,Spring 2014,NHK,unknown,Egg,Manga,PG - Children,12033,0
Minihams no Ai no Uta,5.4,"Kids, Music",Music,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,13273,1
Minihams no Kekkon Song,5.45,"Kids, Music",Music,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,13509,0
Mirakururun Grand Purin!,5.27,"Kids, Music",Music,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,13574,0
Pi~hyara Kouta,5.4,"Kids, Music",Music,1,unknown,unknown,unknown,unknown,Music,G - All Ages,14152,0
Hello Kitty no Tomatta Big Ben,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13729,0
Hello Kitty no Mahou no Ringo,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13605,0
Hello Kitty no Kieta Santa-san no Boushi,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13661,0
Hello Kitty no Sanbiki no Kobuta,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13713,1
Hello Kitty no Yuki no Joou,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13045,0
Hello Kitty no Match Uri Shoujo,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13060,1
Hello Kitty no Hansel to Gretel,5.86,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13360,0
Hello Kitty no Ou-sama no Mimi wa Roba no Mimi,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13560,0
Pochacco no Jack to Mame no Ki,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14085,0
Hello Kitty no Yume no Oshiro no Ouji-sama,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13971,0
Hello Kitty no Kaguya-hime,5.75,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,11828,0
Kitty to Mimmy no Happy Birthday,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14400,0
Washimo,0,"Sci-Fi, Slice of Life, Comedy, Kids, School",TV,10,Winter 2014,unknown,unknown,Studio Deen,Picture book,G - All Ages,12748,0
Initial D Final Stage,8.24,"Sports, Cars, Seinen",TV,4,Spring 2014,Avex Entertainment,unknown,SynergySP,Manga,PG-13 - Teens 13 or older,1585,587
Manga Nihonshi (NHK Han),0,Historical,TV,40,Spring 1992,NHK,unknown,unknown,unknown,G - All Ages,12858,3
Kobutori,0,"Comedy, Demons",Movie,1,unknown,unknown,unknown,unknown,Other,G - All Ages,12706,0
Freely Tomorrow,6.67,Music,Music,1,unknown,Sony Music Entertainment,unknown,unknown,unknown,G - All Ages,8421,4
Sekai no Hikari: Shinran Shounin,0,Historical,OVA,6,unknown,AIC,unknown,unknown,unknown,PG-13 - Teens 13 or older,15599,0
Kiseijuu: Sei no Kakuritsu,8.4,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen",TV,24,Fall 2014,"VAP, Kodansha, Nippon Television Network, Forecast Communications",Sentai Filmworks,Madhouse,Manga,R - 17+ (violence & profanity),39,26381
Yami Shibai 2,6.5,"Dementia, Horror, Supernatural",TV,13,Summer 2014,TV Tokyo,Sentai Filmworks,ILCA,Original,PG-13 - Teens 13 or older,2666,25
Oniku Daisuki! Zeushi-kun,0,Comedy,TV,12,Winter 2014,unknown,unknown,DLE,Original,G - All Ages,12905,0
Kyonyuu Kazoku Saimin,6.79,Hentai,OVA,1,unknown,T-Rex,unknown,unknown,Visual novel,Rx - Hentai,5389,42
Blade & Soul,6.09,"Action, Adventure, Fantasy, Martial Arts",TV,13,Spring 2014,TBS,Sentai Filmworks,Gonzo,Game,R - 17+ (violence & profanity),1299,137
Virtual Star 2000,0,"Action, Music",OVA,6,unknown,Pony Canyon,unknown,unknown,unknown,R+ - Mild Nudity,13673,1
Hangyodon no Hadaka no Ou-sama,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14010,0
Bad Badtz-Maru no Ari to Kirigirisu,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13393,0
Osaru no Monkichi no Kin no Ono Gin no Ono,0,Kids,OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14528,0
Pom Pom Purin no Usagi to Kame,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13991,0
Ahiru no Pekkle no Ahiru no Drakestail,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13095,3
Kero Kero Keroppi no Aladdin to Mahou no Lamp,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14117,0
Ahiru no Pekkle no Minikui Ahiru no Ko,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13240,2
Pom Pom Purin no Kitakaze to Taiyou,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14360,1
Uchuu Kyoudai: Number Zero,7.6,"Sci-Fi, Slice of Life, Space, Comedy, Seinen",Movie,1,unknown,unknown,unknown,A-1 Pictures,Manga,PG-13 - Teens 13 or older,6136,5
Nukko.,0,Comedy,TV,24,Spring 2012,unknown,unknown,Kachidoki Studio,Original,PG-13 - Teens 13 or older,14414,0
Patalliro Saiyuuki! Special,0,"Adventure, Comedy, Fantasy, Shoujo, Shounen Ai",Special,1,unknown,Magic Bus,unknown,unknown,unknown,PG-13 - Teens 13 or older,11690,0
Potecco Babies (2011),0,Comedy,ONA,12,unknown,unknown,unknown,Shin-Ei Animation,unknown,G - All Ages,13880,0
Kimezou no Kimarimonku Ja Kimaranee.,0,Comedy,ONA,12,unknown,Dentsu,unknown,Shin-Ei Animation,unknown,G - All Ages,15595,0
Kimezou no Kimarimonku Ja Kimaranee. Featuring Sabu-Otoko,0,Comedy,ONA,12,unknown,Dentsu,unknown,Shin-Ei Animation,unknown,G - All Ages,15783,1
Ahiru no Pekkle no Sindbad no Bouken,5.74,"Adventure, Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,12547,1
Kero Kero Keroppi no Ganbare! Keroppooz,0,"Kids, Fantasy, Sports",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13990,0
Ahiru no Pekkle no Suieitaikai wa Oosawagi,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13068,1
Patty & Jimmy no Kimikoso Superstar,0,"Kids, Sports",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14742,0
Ahiru no Pekkle no Aladdin to Mahou no Lamp,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13007,4
Kero Kero Keroppi no Yowamushi-ouji no Daibouken,0,"Adventure, Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14197,1
Kero Kero Keroppi no Kero Kero House no Himitsu,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14355,2
Pochacco no Wakuwaku Birthday,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14787,0
Kero Kero Keroppi no Tomodachitte Ii na,0,Kids,OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14822,0
Ahiru no Pekkle no Hihou wo Sagase,0,"Adventure, Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,13551,0
Pochacco no Ninjin Hata wa Oosawagi,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14909,0
Kero Kero Keroppi no Dai Bouken,0,"Adventure, Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14421,0
Santa-san to Tonakai Kuppi,0,"Fantasy, Kids",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14620,0
Peeping Life: Tezuka Pro - Tatsunoko Pro Wonderland,0,"Comedy, Parody",OVA,10,unknown,CoMix Wave Films,unknown,unknown,unknown,PG - Children,13126,0
Peeping Life: Tezuka Pro - Tatsunoko Pro Wonderland Specials,0,"Comedy, Parody",Special,2,unknown,CoMix Wave Films,unknown,unknown,unknown,PG - Children,13677,0
Peeping Life: Tezuka Pro - Tatsunoko Pro Wonderland ONA,0,"Comedy, Parody",ONA,4,unknown,CoMix Wave Films,unknown,unknown,unknown,PG - Children,13467,0
Kero Kero Keroppi no Tomodachi ni Narou yo,0,"Kids, Fantasy",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14555,0
Kero Kero Keroppi no Tomodachi wa Mahoutsukai,0,"Kids, Magic",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14456,0
Kero Kero Keroppi no Bikkuri! Obakeyashiki,0,"Kids, Supernatural",OVA,1,unknown,Sanrio,unknown,unknown,unknown,G - All Ages,14744,0
